,lon,lat,Hour,tmp,wsd,pcp,RIDE,ALIGHT
0,126.8222347,37.54738305,6,26,0.8,0,9.271333842753895,34.86662695272723
1,126.8222347,37.54738305,7,28,0.7,0,33.09865876493222,71.41667017648449
2,126.8222347,37.54738305,8,29,1.0,0,31.364458303015237,106.40734563103234
3,126.8222347,37.54738305,9,31,1.3,0,16.71985647348197,88.36608831426301
4,126.8242775,37.54785107,6,26,0.8,0,13.060782347169535,33.82202700321262
5,126.8242775,37.54785107,7,28,0.7,0,39.53537052440281,85.00654047451889
6,126.8242775,37.54785107,8,29,1.0,0,46.152584885898506,116.709723526019
7,126.8242775,37.54785107,9,31,1.3,0,26.336200013263085,96.05041478885512
8,126.8241693,37.55006761,6,26,0.8,0,13.47766557675964,33.70890934794976
9,126.8241693,37.55006761,7,28,0.7,0,49.906119432773956,84.10565695028042
10,126.8241693,37.55006761,8,29,1.0,0,55.58083001645838,117.60653634283557
11,126.8241693,37.55006761,9,31,1.3,0,33.16481090392019,96.72871501537298
12,126.8253975,37.55140845,6,26,0.8,0,3.74964875269693,44.54472730446829
13,126.8253975,37.55140845,7,28,0.7,0,18.24246148724398,83.50225928222513
14,126.8253975,37.55140845,8,29,1.0,0,26.826174696862093,116.41313712495717
15,126.8253975,37.55140845,9,31,1.3,0,17.134077290584685,95.04438419888716
16,126.8260631,37.55329542,6,26,0.8,0,21.892801290153276,54.43658624895806
17,126.8260631,37.55329542,7,28,0.7,0,92.5957870581827,127.35353891443067
18,126.8260631,37.55329542,8,29,1.0,0,124.91925072829541,155.85683277878564
19,126.8260631,37.55329542,9,31,1.3,0,92.91150219033875,140.46016778260469
20,126.8282122,37.55339409,6,26,0.8,0,10.797885264187341,40.281516964836385
21,126.8282122,37.55339409,7,28,0.7,0,30.481853512325827,79.75286966516535
22,126.8282122,37.55339409,8,29,1.0,0,28.03753059981923,109.45795458150394
23,126.8282122,37.55339409,9,31,1.3,0,17.84494106358112,91.94745058681937
24,126.8297394,37.55325753,6,26,0.8,0,25.255418917862706,53.06209031790756
25,126.8297394,37.55325753,7,28,0.7,0,93.3860610497019,111.12223922076141
26,126.8297394,37.55325753,8,29,1.0,0,155.54454855826552,150.83212633809478
27,126.8297394,37.55325753,9,31,1.3,0,104.17431257274994,134.82166868255842
28,126.8309217,37.55158209,6,26,0.8,0,24.988932197111787,61.45323766210793
29,126.8309217,37.55158209,7,28,0.7,0,102.13290370367275,124.38304098334605
30,126.8309217,37.55158209,8,29,1.0,0,170.04877111079807,164.22445117567707
31,126.8309217,37.55158209,9,31,1.3,0,114.101886262443,144.9695445294075
32,126.8318357,37.54962732,6,26,0.8,0,26.4005120660705,61.45323766210793
33,126.8318357,37.54962732,7,28,0.7,0,102.13290370367275,124.38304098334605
34,126.8318357,37.54962732,8,29,1.0,0,170.04877111079807,164.22445117567707
35,126.8318357,37.54962732,9,31,1.3,0,114.101886262443,144.9695445294075
36,126.8331242,37.54787562,6,26,0.8,0,26.194926452908952,61.328229481190995
37,126.8331242,37.54787562,7,28,0.7,0,101.25944814083773,124.38304098334605
38,126.8331242,37.54787562,8,29,1.0,0,166.55682834209895,164.22445117567707
39,126.8331242,37.54787562,9,31,1.3,0,112.28121444266183,144.997056157052
40,126.8353186,37.54787149,6,26,0.8,0,20.67271696540555,60.77592755889898
41,126.8353186,37.54787149,7,28,0.7,0,96.86294414624375,124.38304098334605
42,126.8353186,37.54787149,8,29,1.0,0,159.22086029689598,164.22445117567707
43,126.8353186,37.54787149,9,31,1.3,0,106.97232403180428,144.997056157052
44,126.8365028,37.549241,6,26,0.8,0,15.305946465671488,60.71605258349423
45,126.8365028,37.549241,7,28,0.7,0,88.28362367390243,122.67606950462536
46,126.8365028,37.549241,8,29,1.0,0,132.397778427884,164.2784986595826
47,126.8365028,37.549241,9,31,1.3,0,97.77109790543514,145.75177532639273
48,126.8367015,37.55312049,6,26,0.8,0,14.645262195629641,52.425564355882756
49,126.8367015,37.55312049,7,28,0.7,0,81.06022213742827,109.39610333186704
50,126.8367015,37.55312049,8,29,1.0,0,123.4525207610454,150.1214807223793
51,126.8367015,37.55312049,9,31,1.3,0,89.63537188845622,135.7215224172027
52,126.8379443,37.55462522,6,26,0.8,0,11.03916078587699,49.71899235346587
53,126.8379443,37.55462522,7,28,0.7,0,64.96296609907523,100.18508963003043
54,126.8379443,37.55462522,8,29,1.0,0,92.69309268137846,140.1488682021562
55,126.8379443,37.55462522,9,31,1.3,0,74.50227941739631,126.14389095481673
56,126.8395111,37.55447057,6,26,0.8,0,35.569477168212345,56.94246397217093
57,126.8395111,37.55447057,7,28,0.7,0,101.52881661718348,117.06574609917006
58,126.8395111,37.55447057,8,29,1.0,0,202.41135991335918,161.5329142780454
59,126.8395111,37.55447057,9,31,1.3,0,119.19085685648628,139.828795153314
60,126.8404847,37.55437097,6,26,0.8,0,35.569477168212345,56.94246397217093
61,126.8404847,37.55437097,7,28,0.7,0,101.52881661718348,117.06574609917006
62,126.8404847,37.55437097,8,29,1.0,0,202.41135991335918,161.5329142780454
63,126.8404847,37.55437097,9,31,1.3,0,119.19085685648628,139.828795153314
64,126.8415568,37.55426969,6,26,0.8,0,35.569477168212345,56.94246397217093
65,126.8415568,37.55426969,7,28,0.7,0,101.52881661718348,117.06574609917006
66,126.8415568,37.55426969,8,29,1.0,0,202.41135991335918,161.5329142780454
67,126.8415568,37.55426969,9,31,1.3,0,119.19085685648628,139.828795153314
68,126.8442048,37.55288372,6,27,0.9,0,38.1919881942123,67.85746002213594
69,126.8442048,37.55288372,7,28,0.6,0,128.38072774142339,116.78930163304018
70,126.8442048,37.55288372,8,29,0.9,0,266.3979197238744,165.1983440556633
71,126.8442048,37.55288372,9,30,1.2,0,143.741145673608,144.44005043089635
72,126.8464574,37.5527407,6,27,0.9,0,37.984555579264175,67.85746002213594
73,126.8464574,37.5527407,7,28,0.6,0,128.38072774142339,116.78930163304018
74,126.8464574,37.5527407,8,29,0.9,0,266.3979197238744,165.1983440556633
75,126.8464574,37.5527407,9,30,1.2,0,143.741145673608,144.44005043089635
76,126.8478384,37.55318672,6,27,0.9,0,39.96264039843228,80.41619099713836
77,126.8478384,37.55318672,7,28,0.6,0,171.86302505441654,126.03372087311024
78,126.8478384,37.55318672,8,29,0.9,0,386.3707239125964,173.2620195285017
79,126.8478384,37.55318672,9,30,1.2,0,178.7824545268244,150.4577494867702
80,126.8499144,37.55307765,6,27,0.9,0,39.96264039843228,80.41619099713836
81,126.8499144,37.55307765,7,28,0.6,0,171.86302505441654,126.03372087311024
82,126.8499144,37.55307765,8,29,0.9,0,386.3707239125964,173.2620195285017
83,126.8499144,37.55307765,9,30,1.2,0,178.7824545268244,150.4577494867702
84,126.8534483,37.55752808,6,27,0.9,0,33.37125867103854,16.10741300811415
85,126.8534483,37.55752808,7,28,0.6,0,116.15680245888025,29.37004654605098
86,126.8534483,37.55752808,8,29,0.9,0,218.96529132858794,40.84552661713552
87,126.8534483,37.55752808,9,30,1.2,0,116.59183721828663,29.206888029352676
88,126.85420390000002,37.55892751,6,27,0.7,0,28.606268651782738,15.642531291478365
89,126.85420390000002,37.55892751,7,28,0.8,0,109.35788432937049,36.28166604216755
90,126.85420390000002,37.55892751,8,29,0.9,0,215.75339681052236,47.31435852015285
91,126.85420390000002,37.55892751,9,31,1.2,0,110.98117751520066,35.56097001275448
92,126.85420390000002,37.55892751,6,27,0.7,0,28.606268651782738,15.642531291478365
93,126.85420390000002,37.55892751,7,28,0.8,0,109.35788432937049,36.28166604216755
94,126.85420390000002,37.55892751,8,29,0.9,0,215.75339681052236,47.31435852015285
95,126.85420390000002,37.55892751,9,31,1.2,0,110.98117751520066,35.56097001275448
96,126.8541936,37.55955916,6,27,0.7,0,28.736746337004792,15.650063121601558
97,126.8541936,37.55955916,7,28,0.8,0,109.35788432937049,36.41012976256311
98,126.8541936,37.55955916,8,29,0.9,0,215.75339681052236,47.363775958311464
99,126.8541936,37.55955916,9,31,1.2,0,110.98117751520066,35.56097001275448
100,126.87896299999998,37.581876,6,27,0.7,0,18.489808821235798,70.60705329971717
101,126.87896299999998,37.581876,7,28,0.8,0,61.98495971041803,206.58168711434305
102,126.87896299999998,37.581876,8,29,0.9,0,84.59517455481729,257.3056062513279
103,126.87896299999998,37.581876,9,31,1.2,0,62.24510276174306,119.47710472997218
104,126.886335,37.580921,6,27,0.7,0,21.83364069995967,68.89735681889722
105,126.886335,37.580921,7,28,0.8,0,60.3476813644485,202.43667930180538
106,126.886335,37.580921,8,29,0.9,0,81.41341619660487,261.5200621919028
107,126.886335,37.580921,9,31,1.2,0,71.51295180025994,122.96331178812906
108,126.889637,37.578988,6,27,0.7,0,22.792591691465834,68.27967372256728
109,126.889637,37.578988,7,28,0.8,0,49.96196898320284,197.47305506477412
110,126.889637,37.578988,8,29,0.9,0,59.27866710015582,249.2333729663598
111,126.889637,37.578988,9,31,1.2,0,39.09841646012401,117.40999224975214
112,126.891323,37.577985,6,27,0.7,0,22.472900688030347,67.19846912541914
113,126.891323,37.577985,7,28,0.8,0,47.56706979799611,265.98844260888086
114,126.891323,37.577985,8,29,0.9,0,59.04910138784891,336.69089379026707
115,126.891323,37.577985,9,31,1.2,0,38.937923994504715,147.89089397897436
116,126.8934931,37.57663449,6,27,0.7,0,23.404260146534295,71.55287596685481
117,126.8934931,37.57663449,7,28,0.8,0,51.58764908526844,295.9474530266334
118,126.8934931,37.57663449,8,29,0.9,0,62.57840404323441,390.0527562942853
119,126.8934931,37.57663449,9,31,1.2,0,40.37752478358427,155.11309712216905
120,126.8962007,37.57504422,6,27,0.7,0,25.132927560575364,47.29975269512377
121,126.8962007,37.57504422,7,28,0.8,0,55.49000155674253,180.83796919978047
122,126.8962007,37.57504422,8,29,0.9,0,62.15775825053877,274.8043017799201
123,126.8962007,37.57504422,9,31,1.2,0,41.12592889921074,123.41849556001887
124,126.8996741,37.57520782,6,27,0.7,0,25.132927560575364,47.29975269512377
125,126.8996741,37.57520782,7,28,0.8,0,55.49000155674253,180.83796919978047
126,126.8996741,37.57520782,8,29,0.9,0,62.15775825053877,274.8043017799201
127,126.8996741,37.57520782,9,31,1.2,0,41.12592889921074,123.41849556001887
128,126.8980882,37.57694402,6,27,0.7,0,23.587046565995358,71.55287596685481
129,126.8980882,37.57694402,7,28,0.8,0,51.58764908526844,295.9474530266334
130,126.8980882,37.57694402,8,29,0.9,0,60.98580925128083,390.0527562942853
131,126.8980882,37.57694402,9,31,1.2,0,40.37752478358427,155.11309712216905
132,126.8940289,37.5796266,6,27,0.7,0,22.792591691465834,68.27967372256728
133,126.8940289,37.5796266,7,28,0.8,0,49.96196898320284,197.47305506477412
134,126.8940289,37.5796266,8,29,0.9,0,59.27866710015582,249.2333729663598
135,126.8940289,37.5796266,9,31,1.2,0,39.09841646012401,117.40999224975214
136,126.8908953,37.58165157,6,27,0.7,0,22.792591691465834,68.27967372256728
137,126.8908953,37.58165157,7,28,0.8,0,49.96196898320284,197.47305506477412
138,126.8908953,37.58165157,8,29,0.9,0,59.27866710015582,249.2333729663598
139,126.8908953,37.58165157,9,31,1.2,0,39.09841646012401,117.40999224975214
140,126.8865178,37.58033328,6,27,0.7,0,21.05665764240647,68.89735681889722
141,126.8865178,37.58033328,7,28,0.8,0,51.935672218546834,201.89595656577515
142,126.8865178,37.58033328,8,29,0.9,0,75.62537472977722,261.25290647154014
143,126.8865178,37.58033328,9,31,1.2,0,72.75572893231067,123.35130230924537
144,126.8840462,37.58177983,6,27,0.7,0,7.813111575138003,62.42810104393888
145,126.8840462,37.58177983,7,28,0.8,0,20.555967070841703,178.64947756159663
146,126.8840462,37.58177983,8,29,0.9,0,22.681631816740698,230.0317836328028
147,126.8840462,37.58177983,9,31,1.2,0,19.878983120165543,107.98672320649689
